PSTAR: Stopping Powers and Range Tables for Protons

SILICON DIOXIDE                                                         

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
5.500E-01 2.736E+02 2.450E-01 2.738E+02 1.472E-03 1.421E-03 0.9651 
6.000E-01 2.599E+02 2.275E-01 2.601E+02 1.659E-03 1.607E-03 0.9683 
6.500E-01 2.478E+02 2.124E-01 2.480E+02 1.856E-03 1.802E-03 0.9710 
7.000E-01 2.369E+02 1.993E-01 2.371E+02 2.063E-03 2.007E-03 0.9733 
7.500E-01 2.271E+02 1.879E-01 2.273E+02 2.278E-03 2.222E-03 0.9752 
8.000E-01 2.182E+02 1.777E-01 2.184E+02 2.502E-03 2.445E-03 0.9769 
8.500E-01 2.101E+02 1.686E-01 2.102E+02 2.736E-03 2.677E-03 0.9784 
9.000E-01 2.027E+02 1.604E-01 2.029E+02 2.978E-03 2.918E-03 0.9797 
9.500E-01 1.959E+02 1.530E-01 1.961E+02 3.229E-03 3.167E-03 0.9809 
1.000E+00 1.897E+02 1.464E-01 1.898E+02 3.488E-03 3.425E-03 0.9819 
1.250E+00 1.642E+02 1.204E-01 1.643E+02 4.908E-03 4.838E-03 0.9856 
1.500E+00 1.455E+02 1.026E-01 1.456E+02 6.528E-03 6.450E-03 0.9880 
1.750E+00 1.311E+02 8.954E-02 1.312E+02 8.340E-03 8.253E-03 0.9896 
2.000E+00 1.196E+02 7.954E-02 1.196E+02 1.034E-02 1.024E-02 0.9908 
2.250E+00 1.102E+02 7.162E-02 1.102E+02 1.252E-02 1.241E-02 0.9916 
2.500E+00 1.023E+02 6.520E-02 1.023E+02 1.487E-02 1.476E-02 0.9923 
2.750E+00 9.559E+01 5.987E-02 9.565E+01 1.740E-02 1.728E-02 0.9928 
3.000E+00 8.981E+01 5.538E-02 8.986E+01 2.010E-02 1.996E-02 0.9933 
3.500E+00 8.032E+01 4.822E-02 8.037E+01 2.599E-02 2.584E-02 0.9939 
4.000E+00 7.284E+01 4.274E-02 7.288E+01 3.254E-02 3.235E-02 0.9944 
4.500E+00 6.676E+01 3.842E-02 6.680E+01 3.971E-02 3.950E-02 0.9947 
5.000E+00 6.173E+01 3.492E-02 6.176E+01 4.750E-02 4.726E-02 0.9950 
5.500E+00 5.747E+01 3.202E-02 5.750E+01 5.590E-02 5.563E-02 0.9952 
6.000E+00 5.382E+01 2.958E-02 5.385E+01 6.489E-02 6.459E-02 0.9954 
6.500E+00 5.065E+01 2.750E-02 5.067E+01 7.447E-02 7.414E-02 0.9956 
7.000E+00 4.786E+01 2.570E-02 4.789E+01 8.462E-02 8.426E-02 0.9957 
7.500E+00 4.540E+01 2.413E-02 4.543E+01 9.535E-02 9.495E-02 0.9958 
8.000E+00 4.321E+01 2.274E-02 4.323E+01 1.066E-01 1.062E-01 0.9959 
8.500E+00 4.123E+01 2.151E-02 4.126E+01 1.185E-01 1.180E-01 0.9960 
9.000E+00 3.945E+01 2.041E-02 3.947E+01 1.309E-01 1.304E-01 0.9961 
9.500E+00 3.783E+01 1.942E-02 3.785E+01 1.438E-01 1.433E-01 0.9962 
1.000E+01 3.636E+01 1.852E-02 3.638E+01 1.573E-01 1.567E-01 0.9962 
1.250E+01 3.054E+01 1.507E-02 3.056E+01 2.326E-01 2.318E-01 0.9965 
1.500E+01 2.646E+01 1.273E-02 2.648E+01 3.208E-01 3.197E-01 0.9966 
1.750E+01 2.343E+01 1.103E-02 2.344E+01 4.213E-01 4.199E-01 0.9967 
2.000E+01 2.108E+01 9.739E-03 2.109E+01 5.339E-01 5.322E-01 0.9968 
2.500E+01 1.766E+01 7.906E-03 1.767E+01 7.941E-01 7.917E-01 0.9970 
2.750E+01 1.637E+01 7.231E-03 1.638E+01 9.412E-01 9.384E-01 0.9970 
3.000E+01 1.528E+01 6.665E-03 1.529E+01 1.099E+00 1.096E+00 0.9971 
3.500E+01 1.353E+01 5.767E-03 1.353E+01 1.448E+00 1.444E+00 0.9972 
4.000E+01 1.217E+01 5.086E-03 1.218E+01 1.838E+00 1.833E+00 0.9972 
4.500E+01 1.110E+01 4.552E-03 1.110E+01 2.268E+00 2.262E+00 0.9973 
5.000E+01 1.022E+01 4.122E-03 1.022E+01 2.738E+00 2.731E+00 0.9973 
5.500E+01 9.489E+00 3.767E-03 9.493E+00 3.246E+00 3.238E+00 0.9974 
6.000E+01 8.871E+00 3.470E-03 8.874E+00 3.791E+00 3.781E+00 0.9974 
6.500E+01 8.341E+00 3.217E-03 8.344E+00 4.373E+00 4.361E+00 0.9974 
7.000E+01 7.881E+00 3.000E-03 7.884E+00 4.989E+00 4.977E+00 0.9975 
7.500E+01 7.478E+00 2.810E-03 7.481E+00 5.641E+00 5.627E+00 0.9975 
8.000E+01 7.122E+00 2.644E-03 7.125E+00 6.326E+00 6.310E+00 0.9975 
8.500E+01 6.805E+00 2.496E-03 6.808E+00 7.044E+00 7.027E+00 0.9976 
9.000E+01 6.521E+00 2.365E-03 6.524E+00 7.795E+00 7.776E+00 0.9976 
9.500E+01 6.265E+00 2.247E-03 6.268E+00 8.577E+00 8.556E+00 0.9976 
1.000E+02 6.033E+00 2.140E-03 6.036E+00 9.390E+00 9.367E+00 0.9976 
1.250E+02 5.137E+00 1.732E-03 5.138E+00 1.390E+01 1.387E+01 0.9977 
1.500E+02 4.525E+00 1.457E-03 4.526E+00 1.910E+01 1.906E+01 0.9978 
1.750E+02 4.080E+00 1.259E-03 4.081E+00 2.493E+01 2.487E+01 0.9978 
2.000E+02 3.742E+00 1.109E-03 3.744E+00 3.133E+01 3.127E+01 0.9979 
2.250E+02 3.477E+00 9.916E-04 3.478E+00 3.827E+01 3.819E+01 0.9979 
2.500E+02 3.264E+00 8.972E-04 3.265E+00 4.569E+01 4.560E+01 0.9980 
2.750E+02 3.089E+00 8.196E-04 3.090E+00 5.357E+01 5.347E+01 0.9980 
3.000E+02 2.942E+00 7.547E-04 2.943E+00 6.187E+01 6.175E+01 0.9981 
3.500E+02 2.712E+00 6.520E-04 2.713E+00 7.960E+01 7.945E+01 0.9981 
4.000E+02 2.540E+00 5.744E-04 2.540E+00 9.867E+01 9.849E+01 0.9982 
4.500E+02 2.407E+00 5.137E-04 2.407E+00 1.189E+02 1.187E+02 0.9982 
5.000E+02 2.302E+00 4.648E-04 2.302E+00 1.402E+02 1.399E+02 0.9983 
5.500E+02 2.217E+00 4.247E-04 2.217E+00 1.623E+02 1.620E+02 0.9983 
6.000E+02 2.147E+00 3.911E-04 2.147E+00 1.852E+02 1.849E+02 0.9984 
6.500E+02 2.089E+00 3.625E-04 2.089E+00 2.088E+02 2.085E+02 0.9984 
7.000E+02 2.040E+00 3.380E-04 2.040E+00 2.331E+02 2.327E+02 0.9985 
7.500E+02 1.997E+00 3.166E-04 1.998E+00 2.578E+02 2.575E+02 0.9985 
8.000E+02 1.961E+00 2.979E-04 1.962E+00 2.831E+02 2.827E+02 0.9985 
8.500E+02 1.930E+00 2.813E-04 1.930E+00 3.088E+02 3.084E+02 0.9986 
9.000E+02 1.903E+00 2.665E-04 1.903E+00 3.349E+02 3.344E+02 0.9986 
9.500E+02 1.879E+00 2.532E-04 1.880E+00 3.613E+02 3.608E+02 0.9986 
1.000E+03 1.858E+00 2.412E-04 1.859E+00 3.881E+02 3.876E+02 0.9986 
1.500E+03 1.745E+00 1.645E-04 1.745E+00 6.673E+02 6.666E+02 0.9988 
2.000E+03 1.709E+00 1.255E-04 1.709E+00 9.574E+02 9.565E+02 0.9990 
2.500E+03 1.700E+00 1.018E-04 1.700E+00 1.251E+03 1.250E+03 0.9991 
3.000E+03 1.702E+00 8.577E-05 1.702E+00 1.545E+03 1.544E+03 0.9992 
4.000E+03 1.720E+00 6.549E-05 1.720E+00 2.130E+03 2.128E+03 0.9993 
5.000E+03 1.743E+00 5.314E-05 1.743E+00 2.708E+03 2.706E+03 0.9994 
6.000E+03 1.765E+00 4.481E-05 1.765E+00 3.278E+03 3.276E+03 0.9994 
7.000E+03 1.787E+00 3.879E-05 1.787E+00 3.841E+03 3.839E+03 0.9995 
8.000E+03 1.807E+00 3.424E-05 1.807E+00 4.397E+03 4.395E+03 0.9995 
9.000E+03 1.825E+00 3.067E-05 1.825E+00 4.948E+03 4.946E+03 0.9995 
1.000E+04 1.842E+00 2.779E-05 1.842E+00 5.493E+03 5.491E+03 0.9996 
