Impact energy	SCS	label	Ref
keV	e-15 eV cm2/atom		
150.00	19.30	V	
161.00	18.70	V	
181.00	18.00	V	
185.00	17.30	V	
199.00	16.80	V	
228.00	16.50	V	
233.00	15.60	V	
279.00	15.30	V	
280.00	14.60	V	
301.00	13.70	V	
322.00	14.50	V	
328.00	13.60	V	
1.6200	6.240	W	Fm02
2.5600	7.710	W	
3.4900	8.970	W	
4.4500	10.00	W	
5.4300	10.90	W	
10.700	14.50	W	
15.300	16.40	W	
20.100	18.00	W	
25.200	19.40	W	
30.700	20.90	W	
40.300	22.40	W	
51.300	23.00	W	
61.700	24.20	W	
83.100	23.40	W	
104.00	22.50	W	
131.00	20.90	W	
155.00	19.50	W	
182.00	18.30	W	
206.00	18.10	W	
20.000	18.43	X	Nm96
23.492	19.88	X	
27.595	21.19	X	
32.413	22.30	X	
38.073	23.16	X	
44.721	23.72	X	
52.531	23.96	X	
61.703	23.91	X	
72.478	23.57	X	
85.134	23.00	X	
100.00	22.24	X	
117.46	21.34	X	
137.97	20.34	X	
162.07	19.29	X	
190.37	18.20	X	
223.61	17.10	X	
262.65	16.01	X	
308.52	14.94	X	
362.39	13.89	X	
425.67	12.87	X	
500.00	11.89	X	
1.0000	4.029	Y	Kc98
1.1890	4.421	Y	
1.4130	4.857	Y	
1.6790	5.341	Y	
1.9950	5.880	Y	
2.3710	6.480	Y	
2.8180	7.147	Y	
3.3500	7.889	Y	
3.9810	8.711	Y	
4.7320	9.621	Y	
5.6230	10.62	Y	
6.6830	11.72	Y	
7.9430	12.92	Y	
9.4410	14.20	Y	
11.220	15.56	Y	
13.335	16.98	Y	
15.849	18.42	Y	
18.836	19.84	Y	
22.387	21.18	Y	
26.607	22.38	Y	
31.623	23.37	Y	
37.584	24.11	Y	
44.668	24.54	Y	
53.088	24.65	Y	
63.096	24.45	Y	
74.989	23.96	Y	
89.125	23.23	Y	
105.93	22.31	Y	
125.89	21.25	Y	
149.62	20.10	Y	
177.83	18.89	Y	
211.35	17.67	Y	
251.19	16.45	Y	
298.54	15.25	Y	
354.81	14.09	Y	
421.70	12.97		
501.19	11.90	Y	
