PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM OXIDE                                                          

Kinetic   Electron. Nuclear   Total     CSDA      Projected Detour 
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Range     Range     Factor 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g g/cm2     g/cm2            

4.000E+01 1.188E+01 4.912E-03 1.188E+01 1.885E+00 1.880E+00 0.9972 
4.500E+01 1.083E+01 4.397E-03 1.083E+01 2.326E+00 2.320E+00 0.9973 
5.000E+01 9.973E+00 3.981E-03 9.977E+00 2.808E+00 2.800E+00 0.9973 
5.500E+01 9.261E+00 3.638E-03 9.265E+00 3.328E+00 3.319E+00 0.9974 
6.000E+01 8.658E+00 3.351E-03 8.662E+00 3.887E+00 3.877E+00 0.9974 
6.500E+01 8.141E+00 3.107E-03 8.145E+00 4.482E+00 4.471E+00 0.9975 
7.000E+01 7.693E+00 2.897E-03 7.696E+00 5.114E+00 5.101E+00 0.9975 
7.500E+01 7.300E+00 2.714E-03 7.303E+00 5.781E+00 5.767E+00 0.9975 
8.000E+01 6.953E+00 2.553E-03 6.956E+00 6.483E+00 6.467E+00 0.9976 
8.500E+01 6.644E+00 2.410E-03 6.647E+00 7.219E+00 7.201E+00 0.9976 
9.000E+01 6.367E+00 2.283E-03 6.370E+00 7.987E+00 7.968E+00 0.9976 
9.500E+01 6.118E+00 2.169E-03 6.120E+00 8.789E+00 8.768E+00 0.9976 
1.000E+02 5.891E+00 2.066E-03 5.893E+00 9.621E+00 9.599E+00 0.9976 
1.250E+02 5.016E+00 1.672E-03 5.018E+00 1.424E+01 1.421E+01 0.9977 
1.500E+02 4.419E+00 1.407E-03 4.421E+00 1.956E+01 1.952E+01 0.9978 
1.750E+02 3.985E+00 1.215E-03 3.987E+00 2.553E+01 2.548E+01 0.9979 
2.000E+02 3.656E+00 1.071E-03 3.657E+00 3.209E+01 3.202E+01 0.9979 
2.250E+02 3.397E+00 9.574E-04 3.398E+00 3.919E+01 3.911E+01 0.9980 
2.500E+02 3.189E+00 8.662E-04 3.190E+00 4.679E+01 4.670E+01 0.9980 
2.750E+02 3.018E+00 7.913E-04 3.019E+00 5.485E+01 5.474E+01 0.9981 
3.000E+02 2.875E+00 7.286E-04 2.876E+00 6.334E+01 6.322E+01 0.9981 
3.500E+02 2.650E+00 6.294E-04 2.651E+00 8.148E+01 8.133E+01 0.9982 
4.000E+02 2.482E+00 5.545E-04 2.483E+00 1.010E+02 1.008E+02 0.9982 
4.500E+02 2.352E+00 4.959E-04 2.353E+00 1.217E+02 1.215E+02 0.9983 
5.000E+02 2.248E+00 4.487E-04 2.248E+00 1.435E+02 1.432E+02 0.9983 
5.500E+02 2.164E+00 4.100E-04 2.164E+00 1.661E+02 1.659E+02 0.9984 
6.000E+02 2.094E+00 3.775E-04 2.094E+00 1.896E+02 1.893E+02 0.9984 
6.500E+02 2.036E+00 3.500E-04 2.036E+00 2.139E+02 2.135E+02 0.9984 
7.000E+02 1.987E+00 3.263E-04 1.988E+00 2.387E+02 2.384E+02 0.9985 
