PSTAR: Stopping Powers and Range Tables for Protons

CALCIUM FLUORIDE                                                        

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

5.000E+01 9.683E+00 3.854E-03 9.687E+00 
5.500E+01 8.995E+00 3.524E-03 8.998E+00 
6.000E+01 8.412E+00 3.248E-03 8.415E+00 
6.500E+01 7.913E+00 3.013E-03 7.916E+00 
7.000E+01 7.479E+00 2.810E-03 7.482E+00 
7.500E+01 7.099E+00 2.633E-03 7.101E+00 
8.000E+01 6.763E+00 2.478E-03 6.765E+00 
8.500E+01 6.463E+00 2.340E-03 6.466E+00 
9.000E+01 6.195E+00 2.218E-03 6.197E+00 
9.500E+01 5.953E+00 2.107E-03 5.955E+00 
1.000E+02 5.734E+00 2.008E-03 5.736E+00 
1.250E+02 4.886E+00 1.626E-03 4.887E+00 
1.500E+02 4.306E+00 1.369E-03 4.307E+00 
1.750E+02 3.885E+00 1.183E-03 3.886E+00 
2.000E+02 3.565E+00 1.043E-03 3.566E+00 
2.250E+02 3.313E+00 9.325E-04 3.314E+00 
2.500E+02 3.111E+00 8.440E-04 3.112E+00 
2.750E+02 2.945E+00 7.711E-04 2.945E+00 
3.000E+02 2.806E+00 7.101E-04 2.806E+00 
3.500E+02 2.587E+00 6.136E-04 2.588E+00 
4.000E+02 2.424E+00 5.407E-04 2.424E+00 
4.500E+02 2.297E+00 4.836E-04 2.298E+00 
5.000E+02 2.197E+00 4.377E-04 2.198E+00 
5.500E+02 2.116E+00 4.000E-04 2.117E+00 
6.000E+02 2.049E+00 3.684E-04 2.050E+00 
6.500E+02 1.994E+00 3.415E-04 1.994E+00 
7.000E+02 1.947E+00 3.184E-04 1.947E+00 
7.500E+02 1.907E+00 2.983E-04 1.907E+00 
8.000E+02 1.873E+00 2.806E-04 1.873E+00 
8.500E+02 1.843E+00 2.650E-04 1.843E+00 
9.000E+02 1.817E+00 2.511E-04 1.818E+00 
9.500E+02 1.795E+00 2.386E-04 1.795E+00 
1.000E+03 1.775E+00 2.273E-04 1.775E+00 
1.500E+03 1.668E+00 1.551E-04 1.668E+00 
2.000E+03 1.634E+00 1.183E-04 1.634E+00 
2.500E+03 1.625E+00 9.597E-05 1.625E+00 
3.000E+03 1.627E+00 8.088E-05 1.627E+00 
4.000E+03 1.644E+00 6.177E-05 1.644E+00 
5.000E+03 1.666E+00 5.013E-05 1.666E+00 
6.000E+03 1.688E+00 4.227E-05 1.688E+00 
7.000E+03 1.709E+00 3.660E-05 1.709E+00 
8.000E+03 1.728E+00 3.231E-05 1.728E+00 
9.000E+03 1.746E+00 2.894E-05 1.746E+00 
1.000E+04 1.763E+00 2.623E-05 1.763E+00 
